classType,totalArea,FilteredArea,Clusters1,Max1,Mean1,Med1,Clusters2,Max2,Mean2,Med2,Bins,Count,Start,grayMAD,filteredKurtosis,imgPSD Mean1,1stdDev0,imglogPSD Mean1,1stdDev1,imgACF Mean1,1stdDev2,imgPSD Mean2,2stdDev0,imglogPSD Mean2,2stdDev1,imgACF Mean2,2stdDev2
Real,0.0341357,0.0253554,96,39,10.6354,9,30,9,6.83333,7,34,2497,13,14.5345,2.02735,0.225922,0.105086,0.607577,0.10717,0.167917,0.0816943,0.295729,0.105467,0.667233,0.0964033,0.180823,0.0756942
Copy,0.0137304,0.0111632,99,62,15.8283,11,102,52,13.5098,10,22,3529,10,22.5574,1.73219,0.231634,0.0942921,0.618376,0.10014,0.17462,0.0870245,0.142511,0.0647311,0.55827,0.0876653,0.234776,0.189345
Copy,0.00138005,0.00065494,49,108,48.2653,44,47,150,67.3404,66,20,2144,8,29.5658,3.86384,0.224606,0.0918841,0.62755,0.095508,0.174022,0.0901778,0.14439,0.0653635,0.563772,0.0885543,0.232682,0.188159
Real,0.0274075,0.0227188,83,38,11.494,9,63,19,8.33333,7,30,3307,12,13.3793,1.90374,0.217079,0.0951054,0.605955,0.101486,0.155959,0.107286,0.2585,0.0902932,0.646728,0.092028,0.238929,0.0955797
Copy,0.0231343,0.0178988,9,9,7.22222,7,82,19,9.60976,8,25,2711,12,12.3058,2.1165,0.118491,0.0644674,0.535277,0.0944666,0.260635,0.20467,0.133231,0.0609102,0.567194,0.0832134,0.310287,0.195969
Real,0.031703,0.0268908,128,26,11.2109,9.5,66,21,8.81818,8,33,3388,12,11.4783,3.20161,0.17121,0.0850042,0.581842,0.0981632,0.212333,0.12839,0.117699,0.0629683,0.529406,0.0932655,0.27699,0.204255
Real,0.0567403,0.048136,50,32,15.86,12,39,23,10.0256,9,55,5862,13,11.8825,2.12162,0.247227,0.0890002,0.654671,0.0869174,0.214241,0.111388,0.163307,0.0659854,0.603684,0.0789924,0.264918,0.178483
Real,0.0581559,0.0489261,67,21,9.74627,9,10,7,6.3,6,41,4003,14,10.9091,2.10452,0.208627,0.0936329,0.603944,0.101268,0.184677,0.0957864,0.22615,0.0931943,0.617271,0.0986629,0.1921,0.093488
Real,0.0282944,0.0239099,86,19,9.5,8,43,17,7.65116,7,41,3506,12,9.29561,3.17207,0.249703,0.0860592,0.654094,0.084952,0.214139,0.0964472,0.210508,0.0758729,0.636526,0.0848597,0.222116,0.144
Real,0.0395024,0.0322588,62,15,8.41935,8,93,25,8.77419,8,40,3142,13,32.205,6.72956,0.120045,0.0648465,0.554324,0.0895877,0.286872,0.200181,0.207756,0.0942001,0.595755,0.0999075,0.187172,0.091048
Real,0.0606427,0.0503918,34,13,7.44118,7,20,13,7.4,7,46,3239,15,13.2291,1.95129,0.175365,0.0762231,0.572493,0.0940704,0.235957,0.148722,0.254139,0.104459,0.63933,0.100023,0.171993,0.0801958
Real,0.0450385,0.037226,63,34,13.2381,13,72,196,28.6944,10,28,2849,13,23.2243,15.9947,0.124529,0.0760331,0.531993,0.104769,0.272066,0.15496,0.203071,0.0903464,0.604173,0.0974585,0.227793,0.105512
Real,0.0427938,0.0336346,67,18,9.08955,8,13,9,6.92308,6,35,3839,13,16.9878,3.06345,0.263242,0.0930204,0.672572,0.0865318,0.180782,0.10039,0.273017,0.0942454,0.688934,0.0847254,0.18009,0.0935176
Real,0.0476912,0.0416978,33,11,7.60606,7,43,58,21.4884,17,50,3257,14,22.4375,1.87314,0.141861,0.0719468,0.555987,0.0914722,0.247787,0.157799,0.233051,0.0897734,0.646147,0.0895673,0.178849,0.100657
Real,0.0276683,0.0234317,88,46,13.2614,10,69,14,7.69565,7,53,3210,12,10.2025,3.13667,0.165979,0.077537,0.572066,0.0955384,0.212132,0.142895,0.13209,0.0742934,0.532643,0.0940177,0.197003,0.160761
Copy,0.0155368,0.0130071,116,40,10.0776,8,133,33,12.7444,11,20,3818,10,18.2593,1.77302,0.166653,0.0825005,0.52955,0.109533,0.206221,0.11974,0.144841,0.0781182,0.53437,0.102562,0.190048,0.146645
Copy,0.0146894,0.0122158,43,121,47.2326,35,69,124,28.4783,9,28,2512,11,15.9399,2.56516,0.218834,0.0979636,0.599291,0.105743,0.218618,0.092288,0.150832,0.072398,0.548772,0.0946328,0.211704,0.166168
Copy,0.005632,0.00452425,34,112,61.3824,69,94,77,18.5957,10,27,1681,10,14.6992,0.123749,0.162758,0.0719916,0.556131,0.0968949,0.312734,0.145326,0.206721,0.0841163,0.61103,0.0927904,0.176257,0.124907
Copy,0.0213444,0.016657,26,12,7.23077,7,47,12,7.23404,7,37,3661,11,19.3206,-0.0497643,0.126003,0.0627882,0.53226,0.0895086,0.264585,0.197684,0.133708,0.0680087,0.56626,0.0886063,0.250395,0.17181
Copy,0.0210679,0.0155663,6,7,6.33333,6,5,7,6.4,6,25,3592,11,9.64575,1.99834,0.122327,0.064453,0.533893,0.0919978,0.255569,0.201921,0.122202,0.0638131,0.54547,0.0887067,0.295399,0.184099
