movieTitle,director,crewList,castList,producer,companiesList,keywordsList,year,score
avatar,james cameron,"['james cameron', 'james cameron']","['sam worthington', 'zoe saldana', 'sigourney weaver']",jon landau,"['ingenious film partners', 'twentieth century fox film corporation', 'dune entertainment']","['action', 'adventure', 'fantasy']",2009,7.2
pirates of the caribbean: at world's end,gore verbinski,"['ted elliott', 'terry rossio']","['johnny depp', 'orlando bloom', 'keira knightley']",pat sandston,"['walt disney pictures', 'jerry bruckheimer films', 'second mate productions']","['adventure', 'fantasy', 'action']",2007,6.9
spectre,sam mendes,"['john logan', 'john logan', 'ian fleming']","['daniel craig', 'christoph waltz', 'léa seydoux']",michael g. wilson,"['columbia pictures', 'danjaq', 'b24']","['action', 'adventure', 'crime']",2015,6.3
the dark knight rises,christopher nolan,"['christopher nolan', 'christopher nolan', 'jonathan nolan']","['christian bale', 'michael caine', 'gary oldman']",emma thomas,"['legendary pictures', 'warner bros.', 'dc entertainment']","['action', 'crime', 'drama']",2012,7.6
john carter,andrew stanton,"['andrew stanton', 'edgar rice burroughs', 'michael chabon']","['taylor kitsch', 'lynn collins', 'samantha morton']",lindsey collins,['walt disney pictures'],"['action', 'adventure', 'science fiction']",2012,6.1
spider-man 3,sam raimi,"['sam raimi', 'stan lee', 'steve ditko']","['tobey maguire', 'kirsten dunst', 'james franco']",grant curtis,"['columbia pictures', 'laura ziskin productions', 'marvel enterprises']","['fantasy', 'action', 'adventure']",2007,5.9
tangled,nathan greno,"['jacob grimm', 'wilhelm grimm', 'dan fogelman']","['zachary levi', 'mandy moore', 'donna murphy']",roy conli,"['walt disney pictures', 'walt disney animation studios']","['animation', 'family']",2010,7.4
avengers: age of ultron,joss whedon,"['stan lee', 'joss whedon', 'jack kirby']","['robert downey jr.', 'chris hemsworth', 'mark ruffalo']",kevin feige,"['marvel studios', 'prime focus', 'revolution sun studios']","['action', 'adventure', 'science fiction']",2015,7.3
harry potter and the half-blood prince,david yates,"['j.k. rowling', 'steve kloves']","['daniel radcliffe', 'rupert grint', 'emma watson']",tim lewis,"['warner bros.', 'heyday films']","['adventure', 'fantasy', 'family']",2009,7.4
batman v superman: dawn of justice,zack snyder,"['david s. goyer', 'frank miller', 'bob kane']","['ben affleck', 'henry cavill', 'gal gadot']",deborah snyder,"['dc comics', 'atlas entertainment', 'warner bros.']","['action', 'adventure', 'fantasy']",2016,5.7
